"RX_Ypos [cm]","Freq [GHz]","ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
315,7.945,-0.0431871550605652
315,7.9525,-0.79614102420406
315,7.96,-1.38277591940664
315,7.9675,-2.1308019298934
315,7.975,-2.96284116052007
315,7.9825,2.34427769885097
315,7.99,1.36800507021251
315,7.9975,0.253789013956517
315,8.005,-0.735034443522596
315,8.0125,-1.69520315605664
315,8.02,-2.86075405636818
315,8.0275,2.62802339224773
315,8.035,1.63206881130743
315,8.0425,0.630941805847986
315,8.05,0.253197490988147
315,8.0575,-0.737581495489002
315,8.065,-1.3690214242317
315,8.0725,-2.30343751113677
315,8.08,3.02523067926901
315,8.0875,2.13908733910892
315,8.095,1.23241895542206
315,8.1025,0.372464499651898
315,8.11,-0.538413354250189
315,8.1175,-1.4255495082645
315,8.125,-2.29133442311543
315,8.1325,3.10737900115208
315,8.14,2.22751887541467
315,8.1475,1.3281191406227
315,8.155,0.344994388311156
315,8.1625,-0.529135859178001
315,8.17,-1.45777459306223
315,8.1775,-2.39310158269697
315,8.185,3.07126982320614
315,8.1925,2.07369591566144
315,8.2,1.08608132965311
315,8.2075,0.199920667380008
315,8.215,-0.830684015288486
315,8.2225,-1.83084911077326
315,8.23,-2.73514277707194
315,8.2375,2.46606007329633
315,8.245,1.45889396749302
315,8.2525,0.519665566901086
315,8.26,-0.581012503894735
315,8.2675,-1.57076567694576
315,8.275,-2.55907450224385
315,8.2825,2.65955562855908
315,8.29,1.71845793927853
315,8.2975,0.795744624684613
315,8.305,-0.15635681035821
315,8.3125,-0.948614113568358
315,8.32,-1.36403006839033
315,8.3275,-1.90782904463743
315,8.335,-2.49037296687078
315,8.3425,3.01105457979404
315,8.35,2.09804017354056
315,8.3575,1.19693939091964
315,8.365,0.260282692700231
315,8.3725,-0.689071968081193
315,8.38,-1.70352752071834
315,8.3875,-2.71551629248598
315,8.395,2.6171529329631
315,8.4025,1.60834058744835
315,8.41,0.627798609424926
315,8.4175,-0.318278848151322
315,8.425,-1.33401400800642
315,8.4325,-2.25609183036772
315,8.44,3.14004959862167
315,8.4475,2.19153388584948
315,8.455,1.32313792627197
315,8.4625,0.449330105519655
315,8.47,-0.537119174929312
315,8.4775,-1.43100812552112
315,8.485,-2.36737870118626
315,8.4925,2.9038657412812
315,8.5,2.03842859327586
315,8.5075,1.09101904149784
315,8.515,0.203775157216639
315,8.5225,-0.648434862055718
315,8.53,-1.47053499915077
315,8.5375,-2.27861960445086
315,8.545,3.00639884290063
315,8.5525,2.19585683395616
315,8.56,1.237619119471
315,8.5675,0.329951068105267
315,8.575,-0.573801038211502
315,8.5825,-1.55368200525294
315,8.59,-2.40027923161778
315,8.5975,2.84292353603095
315,8.605,1.89745910133196
315,8.6125,1.03374886621215
315,8.62,0.026912081926585
315,8.6275,-0.891199897970827
315,8.635,-1.70953956457255
315,8.6425,-2.69027432421922
315,8.65,2.64246849942558
315,8.6575,1.87445715335514
315,8.665,0.900503877272759
315,8.6725,0.270333446103714
315,8.68,-0.463578367300551
315,8.6875,-1.26584472196729
315,8.695,-2.02937087768443
315,8.7025,-3.01224360451811
315,8.71,2.36580549060815
315,8.7175,1.40230382637139
315,8.725,0.399710230545145
315,8.7325,-0.6115275502603
315,8.74,-1.60545190634784
315,8.7475,-2.59675178159151
315,8.755,2.63551768704541
315,8.7625,1.63468198401048
315,8.77,0.662623742342987
315,8.7775,-0.391648673905303
315,8.785,-1.40354302008301
315,8.7925,-2.20676214193138
315,8.8,-3.10770885444663
315,8.8075,2.29727482243242
315,8.815,1.51822854028464
315,8.8225,0.68214764840363
315,8.83,-0.197860553510294
315,8.8375,-1.03555121472523
315,8.845,-1.74394578863633
315,8.8525,-2.63680863425233
315,8.86,2.85773663565134
315,8.8675,2.08919028020461
315,8.875,1.32135493636067
315,8.8825,0.373368708701397
315,8.89,-0.484992842431546
315,8.8975,-1.35720953801353
315,8.905,-2.37791969654933
315,8.9125,3.08341432063713
315,8.92,2.1510928676183
315,8.9275,1.20683923667925
315,8.935,0.257408196913151
315,8.9425,-0.739008303117795
315,8.95,-1.65455846168423
315,8.9575,-2.66354454825234
315,8.965,2.61181108391078
315,8.9725,1.68876998426803
315,8.98,0.634364439372966
315,8.9875,-0.43030180347323
315,8.995,-1.38429591332131
315,9.0025,-2.40194557789587
315,9.01,2.80632163719888
315,9.0175,1.86345958345978
315,9.025,0.935418455475858
315,9.0325,-0.120914676031019
315,9.04,-1.00929393567094
315,9.0475,-1.83223372456042
315,9.055,-2.70608382075534
315,9.0625,3.12724520476908
315,9.07,2.36167143662039
315,9.0775,1.58212276900155
315,9.085,0.859257156710346
315,9.0925,-0.00797551980659129
315,9.1,-0.876111340359801
315,9.1075,-1.82678029215994
315,9.115,-2.84644714809969
315,9.1225,2.50159887059153
315,9.13,1.51859965652897
315,9.1375,0.564520272754421
315,9.145,-0.319218717698912
315,9.1525,-1.32498002149119
315,9.16,-2.14163669527632
315,9.1675,-3.0174311574662
315,9.175,2.33999410547437
315,9.1825,1.53152230655155
315,9.19,0.575124296560427
315,9.1975,-0.300794899703305
315,9.205,-1.21465837039194
315,9.2125,-2.13813643038479
315,9.22,-2.95077774868081
315,9.2275,2.40474252769523
315,9.235,1.51856692270382
315,9.2425,0.659037938179502
315,9.25,-0.340480739433003
315,9.2575,-1.30364785514506
315,9.265,-2.20090915231524
315,9.2725,3.02623171562551
315,9.28,2.07629255115205
315,9.2875,1.15336985680501
315,9.295,0.101752384455475
315,9.3025,-0.811922628873545
315,9.31,-1.79139141556896
315,9.3175,-2.7461153545849
315,9.325,2.67145497605968
315,9.3325,1.64000348292942
315,9.34,0.678249584135046
315,9.3475,-0.298331802909162
315,9.355,-1.33251081862668
315,9.3625,-2.29199614248192
315,9.37,3.05038190163367
315,9.3775,2.12922748060397
315,9.385,1.17403529130622
315,9.3925,0.130494250185173
315,9.4,-0.596768453459791
315,9.4075,-1.37749922818344
315,9.415,-1.11959523641056
315,9.4225,-1.82612754823205
315,9.43,-2.79542764104406
315,9.4375,2.72865077198134
315,9.445,1.6330869940428
315,9.4525,0.625035320880541
315,9.46,-0.302213733069712
315,9.4675,-1.31602231615072
315,9.475,-2.27111002585303
315,9.4825,3.12815508479608
315,9.49,2.14520167460752
315,9.4975,1.16436923239987
315,9.505,0.27018281740609
315,9.5125,-0.778491742027253
315,9.52,-1.80828288767347
315,9.5275,-2.77981156241687
315,9.535,2.41137214774687
315,9.5425,1.36915245670704
315,9.55,0.388699722091094
315,9.5575,-0.588963371331708
315,9.565,-1.54189280315659
315,9.5725,-2.49671078654706
315,9.58,2.98609065023588
315,9.5875,2.16750199887076
315,9.595,1.42604888529843
315,9.6025,0.693450455429646
315,9.61,-0.204417272350558
315,9.6175,-1.10093153256809
315,9.625,-2.02652670063191
315,9.6325,-2.90777582432061
